YEAR,RealGNP,INVEST,GNPDefl,Interest ,Infl,Trend,RealInv
2000,87.1,2.034,81.9,9.23,3.4,1,2.484
2001,88,1.929,83.8,6.91,1.6,2,2.311
2002,89.5,1.925,85,4.67,2.4,3,2.265
2003,92,2.028,86.7,4.12,1.9,4,2.339
2004,95.5,2.277,89.1,4.34,3.3,5,2.556
2005,98.7,2.527,91.9,6.19,3.4,6,2.75
2006,101.4,2.681,94.8,7.96,2.5,7,2.828
2007,103.2,2.644,97.3,8.05,4.1,8,2.717
2008,102.9,2.425,99.2,5.09,0.1,9,2.445
2009,100,1.878,100,3.25,2.7,10,1.878
2010,102.5,2.101,101.2,3.25,1.5,11,2.076
2011,104.2,2.24,103.3,3.25,3,12,2.168
2012,105.6,2.479,105.2,3.25,1.7,13,2.356
2013,109,2.648,106.7,3.25,1.5,14,2.482
2014,111.6,2.856,108.3,3.25,0.8,15,2.637
